SUCD2_u6m,3.78
FBP,0.0
RPI,12.443
GND,0.0
GAPD,40.033
FUM,0.091
FUMm,3.756
RPE,-12.443
PGL,0.0
ITCOALm,0.0
y001022,3.756
ICDHxm,2.358
SBP,0.0
ACONTa,1.443
y000280,2.488
ACONTb,1.443
y000302,2.488
PGK,40.033
PFK,20.056
PFK_3,12.365
,
MDHm,4.387
y000715,-0.0
y000507,0.0
THFATm,0.0
y300045,0.0
y000509,0.0
y000831,3.756
y000501,0.021
y000505,3.756
GCCcm,0.0
GCCam,0.0
PDHm,4.269
y300052,0.0
y300044,0.0
y000832,3.756
y300046,0.0
GCC2am,0.0
y000301,0.0
CSm,4.127
MCITSm,0.0
TKT2,-24.808
TKT1,12.365
MDH,-0.552
FBA3,12.365
FBA2,0.0
FBA,20.056
TPI,32.415
PGI,44.928
PYK,39.793
TALA,0.0
ENO,39.898
