SUCD2_u6m,0.0
FBP,0.317
RPI,0.166
GND,0.232
GAPD,-0.634
FUM,-94.158
FUMm,0.0
RPE,0.066
PGL,0.232
ITCOALm,0.0
y001022,0.0
ICDHxm,0.222
SBP,0.0
ACONTa,0.0
y000280,0.222
ACONTb,0.0
y000302,0.222
PGK,-0.634
PFK,0.0
PFK_3,0.0
,
MDHm,2.204
y000715,-0.0
y000507,0.0
THFATm,0.0
y300045,0.0
y000509,0.0
y000831,0.0
y000501,0.026
y000505,0.0
GCCcm,0.0
GCCam,0.0
PDHm,2.054
y300052,0.0
y300044,0.0
y000832,0.0
y300046,0.0
GCC2am,0.0
y000301,0.0
CSm,1.876
MCITSm,0.0
TKT2,0.0
TKT1,0.066
MDH,1.209
FBA3,0.0
FBA2,0.0
FBA,-0.317
TPI,-0.325
PGI,-0.302
PYK,0.519
TALA,0.066
ENO,-0.804
