$YarrowiaCycRxn	index	citric acid_idp1_FEB189	citric acid_mae1_FEB188	citric acid_wild-type_FKP391	citric acid_zwf1_FEB184	glucose_idp1_FEB189	glucose_mae1_FEB188	glucose_wild-type_FKP391	glucose_zwf1_FEB184	malic acid_idp1_FEB189	malic acid_mae1_FEB188	malic acid_wild-type_FKP391	malic acid_zwf1_FEB184
6PGLUCONOLACT-RXN	y000091	0.0	0.0	0.0	0.0	2.136	3.814	5.365	0.0	0.232	0.0	0.0	0.0
ACONITATEHYDR-RXN	y000280	2.31	2.041	2.396	0.498	2.438	1.247	0.836	2.488	0.222	0.402	0.0	0.0
CITSYN-RXN	y000300	0.0	0.0	0.0	0.0	2.993	2.251	2.648	4.127	1.876	3.05	4.728	1.554
 ACONITATEDEHYDR-RXN	y000302	2.31	2.041	2.396	0.498	2.438	1.247	0.836	2.488	0.222	0.402	0.0	0.0
RXN-8631	y000322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2PGADEHYDRAT-RXN	y000366	-0.53	-1.406	-1.379	-0.287	55.55	74.264	86.991	39.898	-0.804	-1.668	-1.933	-0.635
F16BDEPHOS-RXN	y000449	0.175	0.461	0.455	0.095	0.0	0.0	0.0	0.0	0.317	0.547	0.637	0.21
F16ALDOLASE-RXN	y000450	-0.175	-0.461	-0.455	-0.095	27.01	35.773	41.627	20.056	-0.317	-0.547	-0.637	-0.21
FUMHYDR-RXN	y000451	0.82	4.234	3.955	0.823	2.008	0.344	0.0	3.756	0.0	0.0	0.0	0.0
PGLUCISOM-RXN	y000467	-0.051	-0.133	-0.134	-0.028	58.043	75.036	90.874	44.928	-0.302	-0.158	-0.188	-0.062
GAPOXNPHOSPHN-RXN	y000486	-0.406	-1.087	-1.057	-0.22	55.932	74.955	88.017	40.033	-0.634	-1.289	-1.481	-0.487
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	y000658	2.31	1.702	2.396	0.427	2.438	0.622	0.0	2.358	0.222	0.0	0.0	0.0
SUCCCOASYN-RXN	y000668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MALATE-DEH-RXN	y000713	0.334	2.04	1.102	0.229	3.73	3.586	2.648	4.387	2.204	11.426	6.273	2.062
 MALIC-NADP-RXN	y000719	0.131	0.0	0.342	0.0	0.252	0.0	0.092	0.012	0.18	0.0	0.479	0.157
6PFRUCTPHOS-RXN	y000886	0.0	0.0	0.0	0.0	27.01	35.773	41.627	20.056	0.0	0.0	0.0	0.0
6PGLUCONDEHYDROG-RXN	y000889	-0.0	0.0	0.0	0.0	2.136	3.814	5.365	0.0	0.232	-0.0	0.0	0.0
PHOSGLYPHOS-RXN	y000892	-0.406	-1.087	-1.057	-0.22	55.932	74.955	88.017	40.033	-0.634	-1.289	-1.481	-0.487
PYRUVDEH-RXN	y000961	0.06	0.336	0.339	0.07	3.394	2.978	3.727	4.269	2.054	3.448	5.203	1.71
PEPDEPHOS-RXN	y000962	0.0	0.889	0.0	0.0	55.252	73.602	86.19	39.793	0.519	4.138	0.0	0.0
RIB5PISOM-RXN	y000982	0.064	0.176	0.168	0.035	16.606	21.576	27.362	12.443	0.166	0.209	0.235	0.077
RIBULP3EPIM-RXN	y000984	-0.064	-0.176	-0.168	-0.035	-14.47	-17.762	-21.997	-12.443	0.066	-0.209	-0.235	-0.077
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	y001021	0.82	4.234	3.955	0.823	2.008	0.469	0.185	3.78	0.0	0.0	0.0	0.0
SUCCCOASYN-RXN	y001022	0.82	4.234	3.955	0.823	1.939	0.344	0.0	3.756	0.0	0.0	0.0	0.0
TRANSALDOL-RXN	y001048	-0.008	-0.011	-0.021	-0.004	0.0	0.0	0.0	0.0	0.066	-0.013	-0.029	-0.01
1TRANSKETO-RXN	y001049	-0.008	-0.011	-0.021	-0.004	16.382	21.172	26.762	12.365	0.066	-0.013	-0.029	-0.01
2TRANSKETO-RXN	y001050	-0.056	-0.165	-0.147	-0.031	-30.852	-38.934	-48.759	-24.808	0.0	-0.195	-0.206	-0.068
TRIOSEPISOMERIZATION-RXN	y001054	-0.18	-0.475	-0.469	-0.098	43.375	56.914	68.343	32.415	-0.325	-0.563	-0.658	-0.216
3PGAREARR-RXN	y002126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
