carbon source,,glucose,glucose,glucose,glucose,glucose,glucose,glucose,citric acid,citric acid,citric acid,citric acid,citric acid,citric acid,citric acid,malic acid,malic acid,malic acid,malic acid,malic acid,malic acid,malic acid
genotype,,wild-type,GDH1,GND1,IDP1,MAE1,ZWF1,pos5,wild-type,GDH1,GND1,IDP1,MAE1,ZWF1,pos5,wild-type,GDH1,GND1,IDP1,MAE1,ZWF1,pos5
RxnId,RxnName,,,,,,,,,,,,,,,,,,,,,
xAMINOACID,Amino acid composition,2.1371793224034263e-15,-1.0824674490095276e-15,-3.774758283725532e-15,3.4139358007223564e-15,2.3592239273284576e-15,4.440892098500626e-15,2.7755575615628914e-15,4.107825191113079e-15,1.6653345369377348e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-6.716849298982197e-15,-6.050715484207103e-15,-6.050715484207103e-15,-4.829470157119431e-15,-7.605027718682322e-15,-9.769962616701378e-15,-3.497202527569243e-15,-1.3877787807814457e-15,-3.608224830031759e-15,-2.7755575615628914e-15
xBIOMASS,Biomass production,-4.996003610813204e-16,-3.885780586188048e-16,-3.3306690738754696e-16,1.1102230246251565e-16,-1.582067810090848e-15,6.938893903907228e-16,3.83026943495679e-15,7.771561172376096e-16,-8.326672684688674e-16,3.3306690738754696e-15,2.6645352591003757e-15,1.0547118733938987e-15,2.4424906541753444e-15,2.4424906541753444e-15,7.771561172376096e-16,-2.220446049250313e-15,1.9984014443252818e-15,2.886579864025407e-15,3.164135620181696e-15,5.551115123125783e-17,3.497202527569243e-15
xLIPID,Lipids pool,7.105427357601002e-15,-3.552713678800501e-15,0.0,-7.105427357601002e-15,-2.1316282072803006e-14,7.105427357601002e-15,1.4210854715202004e-14,2.842170943040401e-14,2.842170943040401e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0
xMAINTENANCE,Non-growth associated maintenance (NGAM),-0.014277294139633467,-0.017500253610761185,-0.013573184515743186,-0.014205715528709806,-0.014172658179304964,-0.013573184515743575,-0.014277294139633412,-0.005956471876042091,-0.006005614960052419,-0.005956471876042035,-0.0058296741044119305,-0.00585123781905128,-0.005956471876042091,-0.005956471876042091,-0.005749834950509958,-0.006175281220513973,-0.005625562074381307,-0.005742021240897899,-0.005611737455801735,-0.005625562074381418,-0.005749834950509958
xPOOL_AC_EM,Acyl-CoAs pool,2.6020852139652106e-18,0.0,1.734723475976807e-18,4.336808689942018e-18,2.6020852139652106e-18,-8.673617379884035e-19,-7.806255641895632e-18,-1.3877787807814457e-17,1.0408340855860843e-17,3.469446951953614e-18,1.0408340855860843e-17,1.0408340855860843e-17,-1.0408340855860843e-17,-1.0408340855860843e-17,-1.734723475976807e-17,6.938893903907228e-18,-1.3877787807814457e-17,6.938893903907228e-18,-6.938893903907228e-18,0.0,6.938893903907228e-18
xPOOL_AC_LP,Acyl-CoAs pool,5.984795992119984e-17,-3.903127820947816e-18,2.42861286636753e-17,-2.5153490401663703e-17,2.6020852139652106e-18,-8.673617379884035e-19,-7.806255641895632e-18,-1.3877787807814457e-17,3.469446951953614e-18,1.0408340855860843e-17,3.469446951953614e-18,-1.734723475976807e-17,1.734723475976807e-17,1.734723475976807e-17,1.0408340855860843e-17,0.0,-2.0816681711721685e-17,6.938893903907228e-18,-6.938893903907228e-18,0.0,-6.938893903907228e-18
xPOOL_AC_MM,Acyl-CoAs pool,-8.673617379884035e-19,-1.0842021724855044e-19,1.734723475976807e-18,8.673617379884035e-19,2.6020852139652106e-18,8.673617379884035e-19,8.673617379884035e-19,0.0,3.469446951953614e-18,-3.469446951953614e-18,-3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.0
xPOOL_FA_EM,Fatty acids pool,2.7755575615628914e-17,-1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,-5.551115123125783e-17,0.0,-1.1102230246251565e-16,-3.3306690738754696e-16,-1.1102230246251565e-16
xPOOL_FA_EN,Fatty acids pool,-5.551115123125783e-17,-1.3877787807814457e-17,-5.551115123125783e-17,-8.326672684688674e-17,5.551115123125783e-17,-5.551115123125783e-17,-2.7755575615628914e-17,-0.0,-5.551115123125783e-17,5.551115123125783e-17,-5.551115123125783e-17,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.0,-0.0,5.551115123125783e-17,-5.551115123125783e-17,5.551115123125783e-17,-0.0,5.551115123125783e-17
