SUCD2_u6m,0.0
FBP,0.547
RPI,0.209
GND,0.0
GAPD,-1.289
FUM,-87.691
FUMm,0.0
RPE,-0.209
PGL,0.0
ITCOALm,0.0
y001022,0.0
ICDHxm,0.0
SBP,0.0
ACONTa,2.097
y000280,0.402
ACONTb,2.097
y000302,0.402
PGK,-1.289
PFK,0.0
PFK_3,0.0
,
MDHm,11.426
y000715,-0.0
y000507,0.0
THFATm,0.0
y300045,0.0
y000509,0.0
y000831,0.0
y000501,0.059
y000505,0.0
GCCcm,0.0
GCCam,0.0
PDHm,3.448
y300052,0.0
y300044,0.0
y000832,0.0
y300046,0.0
GCC2am,0.0
y000301,0.0
CSm,3.05
MCITSm,0.0
TKT2,-0.195
TKT1,-0.013
MDH,0.883
FBA3,0.0
FBA2,0.0
FBA,-0.547
TPI,-0.563
PGI,-0.158
PYK,4.138
TALA,-0.013
ENO,-1.668
