SUCD2_u6m,0.823
FBP,0.095
RPI,0.035
GND,0.0
GAPD,-0.22
FUM,0.033
FUMm,0.823
RPE,-0.035
PGL,0.0
ITCOALm,0.0
y001022,0.823
ICDHxm,0.498
SBP,0.0
ACONTa,99.404
y000280,0.498
ACONTb,99.404
y000302,0.498
PGK,-0.22
PFK,0.0
PFK_3,0.0
,
MDHm,0.229
y000715,-0.0
y000507,0.0
THFATm,0.0
y300045,0.0
y000509,0.0
y000831,0.823
y000501,0.01
y000505,0.823
GCCcm,0.0
GCCam,0.0
PDHm,0.07
y300052,0.0
y300044,0.0
y000832,0.823
y300046,0.0
GCC2am,0.0
y000301,0.0
CSm,0.0
MCITSm,0.0
TKT2,-0.031
TKT1,-0.004
MDH,0.142
FBA3,0.0
FBA2,0.0
FBA,-0.095
TPI,-0.098
PGI,-0.028
PYK,0.0
TALA,-0.004
ENO,-0.287
