SUCD2_u6m,4.234
FBP,0.461
RPI,0.176
GND,0.0
GAPD,-1.087
FUM,0.159
FUMm,4.234
RPE,-0.176
PGL,0.0
ITCOALm,0.0
y001022,4.234
ICDHxm,1.702
SBP,0.0
ACONTa,97.495
y000280,2.041
ACONTb,97.495
y000302,2.041
PGK,-1.087
PFK,0.0
PFK_3,0.0
,
MDHm,2.04
y000715,-0.0
y000507,0.0
THFATm,0.0
y300045,0.0
y000509,0.0
y000831,4.234
y000501,0.05
y000505,4.234
GCCcm,0.0
GCCam,0.0
PDHm,0.336
y300052,0.0
y300044,0.0
y000832,4.234
y300046,0.0
GCC2am,0.0
y000301,0.0
CSm,0.0
MCITSm,0.0
TKT2,-0.165
TKT1,-0.011
MDH,0.716
FBA3,0.0
FBA2,0.0
FBA,-0.461
TPI,-0.475
PGI,-0.133
PYK,0.889
TALA,-0.011
ENO,-1.406
