SUCD2_u6m,0.469
FBP,0.0
RPI,21.576
GND,3.814
GAPD,74.955
FUM,0.468
FUMm,0.344
RPE,-17.762
PGL,3.814
ITCOALm,0.0
y001022,0.344
ICDHxm,0.622
SBP,0.0
ACONTa,0.0
y000280,1.247
ACONTb,0.0
y000302,1.247
PGK,74.955
PFK,35.773
PFK_3,21.172
,
MDHm,3.586
y000715,-0.001
y000507,0.0
THFATm,0.0
y300045,0.0
y000509,0.0
y000831,0.344
y000501,0.108
y000505,0.344
GCCcm,0.0
GCCam,0.0
PDHm,2.978
y300052,0.0
y300044,0.0
y000832,0.344
y300046,0.0
GCC2am,0.0
y000301,0.0
CSm,2.251
MCITSm,0.0
TKT2,-38.934
TKT1,21.172
MDH,-2.774
FBA3,21.172
FBA2,0.0
FBA,35.773
TPI,56.914
PGI,75.036
PYK,73.602
TALA,0.0
ENO,74.264
